slug	rank	商品名	Amazon商品URL	判定	アフィリエイトURL
family-camp-mat	2	キャンピングマット エアマット 自動膨張 ピロー付き 車中泊 冬用 インフレータブル ad011			
family-camp-mat	3	防災士監修 リバーシブル キャンピングマット 自動膨張 厚さ5cm 車中泊			
camp-backpack-beginner	2	tousen 登山リュック 40〜60L 大容量 バックパック 防水 軽量			
camp-table-set	1	アウトドアテーブル 折りたたみ ベンチ2脚セット 幅90cm アルミ			
coleman-lantern	5	コールマン ラギッド パッカウェイランタン 電池式 LED 2000036871			
dod-tarp	1	DOD ビッグタープポール XP5-507			
sleeping-bag-temperature-guide	3	Mt.happy 寝袋 マミー型 ダウン -25度 シュラフ 軽量 コンパクト			
two-room-tent-guide	4	TOMOUNT テント 2ルーム TriArc Tunnel Tent V4 4人用 耐水圧2500mm			
